id,name,distance,mass,radius
195,LSPM J1440+1339,72,0.087822096,0.12228796999999998
196,2MASS J14482563+1031590 [de],47,0.056320692,0.10173536999999999
197,CFBDSIR 1458+10A,104,0.0105959268,0.1541445
198,CFBDSIR 1458+10B,104,0.008591292,0.13359189999999999
199,TVLM 513-46546,35.1,0.07159410000000001,0.10790115
200,2MASS 1503+2525,20.7,0.042001872,0.09659721999999998
201,CFBDS J150411+102717,71,0.042001872,0.09659721999999998
202,2MASSW J1506544+132106 [de],46,0.065866572,0.10481826
203,2MASS 1507−1627,23.9,0.057275280000000005,0.10173536999999999
204,TVLM 868-110639,53,0.075412452,0.11098404
205,SDSS J151114.66+060742.9 [de],89,,
206,2MASSW J1515008+484742 [de],34,0.054411516,0.10173536999999999
207,2MASSI J1526140+204341 [de],67,0.051547752,0.10070773999999999
208,DENIS-P J153941.96-052042.4 [de],51,0.060139044,0.102763
209,2MASS J15462718-3325111 [de],37,0.042001872,0.09659721999999998
210,2MASSW J1552591+294849 [de],68,0.028637640000000002,0.14695108999999998
211,2MASSW J1555157-095605 [de],44,0.067775748,0.10584589
212,2MASS J16150413+1340079 [de],48,0.040092696000000004,0.09659721999999998
213,SDSSp J162414.37+002915.6 [de],36,0.041047284,0.09659721999999998
214,2MASS J16262034+3925190 [de],110,0.067775748,0.10584589
215,2MASSW J1632291+190441 [de],50,0.046774812,0.09968010999999999
216,WISEPA J164715.59+563208.2,28,0.039138108,0.09659721999999998
217,LSPM J1658+7027 [de],60,0.069684924,0.10687352
218,2MASSI J1726000+153819,114,0.022910112,0.14386819999999997
219,2MASSW J1728114+394859,79,,
220,SDSSp J175032.96+175903.9,90,0.044865636,0.09968010999999999
221,2MASS J18283572-4849046,39,0.04295646,0.09762484999999999
222,LSR J1835+3259,18.5,0.073503276,0.10995641
223,2MASSW J1841086+311727,138,0.063957396,0.10379063
224,2MASS J18432213+4040209,46,0.091640448,0.12537086
225,2MASS J20004841-7523070,105,0.0238647,0.19319443999999997
226,SDSS J204749.61-071818.3,65,0.043911048,0.09865247999999999
227,2MASSI J2057540-025230,47,0.06682116,0.10481826
228,2MASSW J2101154+175658,108,,
229,2MASSI J2104149-103736,62,0.065866572,0.10481826
230,PSO J318.5−22,80,0.0062048220000000005,0.15722739
231,HB 2124-4228,113,0.089731272,0.12434322999999999
232,2MASS J21392676+0220226,32.1,0.043911048,0.09865247999999999
233,2MASS J21481628+4003593,26.3,0.05250234,0.10173536999999999
234,2MASS J14112131-2119503,,,
235,2MASSW J2206450-421721,93,0.021000936,0.13667479
236,2MASSW J2208136+292121,154,0.025773876,0.14489582999999998
237,2MASSW J2224438-015852,38,0.058229868000000004,0.10173536999999999
238,2MASS J22282889-4310262,35,0.040092696000000004,0.09659721999999998
239,2MASS J22373255+3922398,64,0.069684924,0.10687352
240,2MASSW J2244316+204343,56,0.011455056,0.13256426999999998
241,2MASS J23224684-3133231,56,0.022910112,0.14284056999999997
242,2MASS J23225299-6151275,148,0.016227996,0.16339317
243,2MASS J23515044-2537367,67,0.084003744,0.11920507999999998
244,2MASSI J2356547-155310,74,0.07636704,0.11201167000000001
245,WISE 0005+3737,23.2,,
246,WISE 0008-1739,87.1,,
247,WISE 0015-4615,48.6,,
248,WISE 0031-3840,71.8,,
249,WISE 0032-4946,62.9,,
250,WISE 0038+2758,36.9,,
251,WISE 0038+8405,101.8,,
252,WISE 0040+0900,47.6,,
253,WISE 0049+0441,62.6,,
254,WISE 0049+2151,24.1,,
255,WISE 0106+1518,142.9,,
256,WISE 0123+4142,67.2,,
257,WISE 0135+1715,77.3,,
258,WISE 0138-0322,57.7,,
259,WISE 0146+4234,20.5,,
260,WISE 0148-7202,30,,
261,WISE 0150+3827,61.3,,
262,WISE 0206+2640,58.4,,
263,WISE 0221+3842,73.1,,
264,WISE 0223-2932,47,,
265,WISE 0226-0211,91,,
266,WISE 0241-3653,53.8,,
267,WISE 0245-3450,56.1,,
268,WISE 0247+3725,57.1,,
269,WISE 0305+3954,75,,
270,WISE 0307+2904,82.8,,
271,WISE 0313+7807,28,,
272,WISE 0316+4307,106.3,,
273,WISE 0321-7347,84.8,,
274,WISE 0323-6025,45.3,,
275,WISE 0325-3854,51.2,,
276,WISE 0325+0831,36.5,,
277,WISE 0333-5856,54.8,,
278,WISE 0335+4310,45.7,,
279,WISE 0336-0143,55.4,,
280,WISE 0350-5658,17.7,,
281,WISE 0359-5401,19.2,,
282,WISE 0410+1502,20,0.005727528,0.12023270999999998
283,WISE 0410+1411,85.8,,
284,WISE 0413-4750,66.2,,
285,WISE 0448-1935,69.8,,
286,WISE 0458+6434A,35.9,0.014318820000000001,0.4316046
287,WISE 0458+6434B,35.9,0.00954588,0.39049939999999994
288,WISE 0500-1223,47,,
289,WISE 0513+0608,44.7,,
290,WISE 0525+6739,98.2,,
291,WISE 0528-3308,57.4,,
292,WISE 0535-7500,47,,
293,WISE 0539-1034,84.8,,
294,WISE 0542-1628,50.6,,
295,WISE 0607+2429,25.4,,
296,WISE 0611-0410,57.7,,
297,WISE 0612-4920,95.2,,
298,WISE 0612-3036,64.9,,
299,WISE 0614+3912,50.2,,
300,WISE 0614+0951,51.5,,
301,WISE 0623-0456,37.5,,
302,WISE 0625+5646,67.2,,
303,WISE 0627-1114,37.2,,
304,WISE 0647-6232,28,,
305,WISE 0656+4205,54.1,,
306,WISE 0713-2917,23.2,,
307,WISE 0723+3403,45.7,,
308,WISE 0733+7544,78.3,,
309,WISE 0734-7157,34.9,,
310,WISE 0744+5628,47.3,,
311,WISE 0750+2725,51.5,,
312,WISE 0751-7634,39.1,,
313,WISE 0759-4904,38.8,,
314,WISE 0811-8051,32,,
315,WISE 0812+4021,63.6,,
316,WISE 0819-0335,46,,
317,WISE 0821+1443,68.2,,
318,WISE 0836-1859,72.4,,
319,WISE 0857+5604,42.1,,
320,WISE 0906+4735,51.5,,
321,WISE 0929+0409,64.9,,
322,WISE 0952+1955,72.1,,
323,WISE 1018-2445,47.6,,
324,WISE 1019+6529,56.8,,
325,WISE 1039-1600,47.3,,
326,WISE 1042-3842,53.2,,
327,WISE 1051-2138,40.8,,
328,WISE 1122+2550,57.7,,
329,WISE 1124-0421,50.6,,
330,WISE 1147-2040,102,,
331,WISE 1150+6302,32.9,,
332,WISE 1217+1626A,34.2,0.011455056,
333,WISE 1217+1626B,34.2,0.005727528,
334,WISE 1225-1013,55.4,,
335,WISE 1311+0122,44.4,,
336,WISE 1311+3629,86.1,,
337,WISE 1318-1758,32.9,,
338,WISE 1320+6034,56.1,,
339,WISE 1322-2340,33.9,,
340,WISE 1348+6603,91,,
341,WISE 1405+5534,25.3,0.028637640000000002,0.08837618
342,WISE 1433-0837,84.8,,
343,WISE 1436-1814,60,,
344,WISE 1457+5815,52.2,,
345,WISE 1506+7027,11.1,,
346,WISE 1517+0529,72.4,,
347,WISE 1519+7009,50.9,,
348,WISE 1523+3125,84.5,,
349,WISE 1541-2250,20,,
350,WISE 1542+2230,41.1,,
351,WISE 1612-3420,55.4,,
352,WISE 1614+1739,32.6,,
353,WISE 1617+1807,50.2,,
354,WISE 1622-0959,52.2,,
355,WISE 1627+3255,50.2,,
